"","ID","PARAM","Date","Flow","SYM"
"30435","05BB001",1,"1993/03/21 00:00:00.000",6.95,"B"
"30436","05BB001",1,"1993/03/22 00:00:00.000",7.15,"B"
"30437","05BB001",1,"1993/03/23 00:00:00.000",7.47,"B"
"30438","05BB001",1,"1993/03/24 00:00:00.000",7.75,"B"
"30439","05BB001",1,"1993/03/25 00:00:00.000",7.62,"B"
"30440","05BB001",1,"1993/03/26 00:00:00.000",7.54,"B"
"30441","05BB001",1,"1993/03/27 00:00:00.000",7.45,"B"
"30442","05BB001",1,"1993/03/28 00:00:00.000",7.38,"B"
"30443","05BB001",1,"1993/03/29 00:00:00.000",7.35,""
"30444","05BB001",1,"1993/03/30 00:00:00.000",7.37,""
"30445","05BB001",1,"1993/03/31 00:00:00.000",7.43,""
"30446","05BB001",1,"1993/04/01 00:00:00.000",7.52,""
"30447","05BB001",1,"1993/04/02 00:00:00.000",7.72,""
"30448","05BB001",1,"1993/04/03 00:00:00.000",7.76,""
"30449","05BB001",1,"1993/04/04 00:00:00.000",7.72,""
"30450","05BB001",1,"1993/04/05 00:00:00.000",7.74,""
"30451","05BB001",1,"1993/04/06 00:00:00.000",7.61,""
"30452","05BB001",1,"1993/04/07 00:00:00.000",7.44,""
"30453","05BB001",1,"1993/04/08 00:00:00.000",7.45,""
"30454","05BB001",1,"1993/04/09 00:00:00.000",7.69,""
"30455","05BB001",1,"1993/04/10 00:00:00.000",7.65,""
"30456","05BB001",1,"1993/04/11 00:00:00.000",7.49,""
"30457","05BB001",1,"1993/04/12 00:00:00.000",7.48,""
"30458","05BB001",1,"1993/04/13 00:00:00.000",7.37,""
"30459","05BB001",1,"1993/04/14 00:00:00.000",7.37,""
"30460","05BB001",1,"1993/04/15 00:00:00.000",7.3,""
"30461","05BB001",1,"1993/04/16 00:00:00.000",7.35,""
"30462","05BB001",1,"1993/04/17 00:00:00.000",7.35,""
"30463","05BB001",1,"1993/04/18 00:00:00.000",7.35,""
"30464","05BB001",1,"1993/04/19 00:00:00.000",7.44,""
"30465","05BB001",1,"1993/04/20 00:00:00.000",7.48,""
"30466","05BB001",1,"1993/04/21 00:00:00.000",7.61,""
"30467","05BB001",1,"1993/04/22 00:00:00.000",7.8,""
"30468","05BB001",1,"1993/04/23 00:00:00.000",8.01,""
"30469","05BB001",1,"1993/04/24 00:00:00.000",8.38,""
"30470","05BB001",1,"1993/04/25 00:00:00.000",8.4,""
"30471","05BB001",1,"1993/04/26 00:00:00.000",8.54,""
"30472","05BB001",1,"1993/04/27 00:00:00.000",8.6,""
"30473","05BB001",1,"1993/04/28 00:00:00.000",8.56,""
"30474","05BB001",1,"1993/04/29 00:00:00.000",8.64,""
"30475","05BB001",1,"1993/04/30 00:00:00.000",8.7,""
"30476","05BB001",1,"1993/05/01 00:00:00.000",9.01,""
"30477","05BB001",1,"1993/05/02 00:00:00.000",9.36,""
"30478","05BB001",1,"1993/05/03 00:00:00.000",9.39,""
"30479","05BB001",1,"1993/05/04 00:00:00.000",9.19,""
"30480","05BB001",1,"1993/05/05 00:00:00.000",10.2,""
"30481","05BB001",1,"1993/05/06 00:00:00.000",14.5,""
"30482","05BB001",1,"1993/05/07 00:00:00.000",20.9,""
"30483","05BB001",1,"1993/05/08 00:00:00.000",19.7,""
"30484","05BB001",1,"1993/05/09 00:00:00.000",17,""
"30485","05BB001",1,"1993/05/10 00:00:00.000",15.8,""
"30486","05BB001",1,"1993/05/11 00:00:00.000",25.1,""
"30487","05BB001",1,"1993/05/12 00:00:00.000",54.2,""
"30488","05BB001",1,"1993/05/13 00:00:00.000",89.1,""
"30489","05BB001",1,"1993/05/14 00:00:00.000",114,""
"30490","05BB001",1,"1993/05/15 00:00:00.000",126,""
"30491","05BB001",1,"1993/05/16 00:00:00.000",112,""
"30492","05BB001",1,"1993/05/17 00:00:00.000",114,""
"30493","05BB001",1,"1993/05/18 00:00:00.000",120,""
"30494","05BB001",1,"1993/05/19 00:00:00.000",116,""
"30495","05BB001",1,"1993/05/20 00:00:00.000",118,""
"30496","05BB001",1,"1993/05/21 00:00:00.000",119,""
"30497","05BB001",1,"1993/05/22 00:00:00.000",107,""
"30498","05BB001",1,"1993/05/23 00:00:00.000",88.7,""
"30499","05BB001",1,"1993/05/24 00:00:00.000",77,""
"30500","05BB001",1,"1993/05/25 00:00:00.000",76,""
